Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Gastroenteritis,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements
Gastroenteritis,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
Gastroenteritis,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
Gastroenteritis,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene
Bronchial Asthma,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene
Bronchial Asthma,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water
Bronchial Asthma,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication
Bronchial Asthma,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens
Bronchial Asthma,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet
Bronchial Asthma,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest
Bronchial Asthma,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly
Bronchial Asthma,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear
Bronchial Asthma,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight
Bronchial Asthma,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean
Hypertension ,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics
Hypertension ,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated
Hypertension ,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food
Hypertension ,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor
Hypertension ,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements
Hypertension ,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
Hypertension ,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
Hypertension ,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene
Hypertension ,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene
Hypertension ,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water
Migraine,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication
Migraine,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens
Migraine,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet
Migraine,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest
Migraine,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly
Migraine,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear
Migraine,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight
Migraine,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean
Migraine,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics
Migraine,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated
Cervical spondylosis,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food
Cervical spondylosis,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor
Cervical spondylosis,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements
Cervical spondylosis,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
Cervical spondylosis,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
Cervical spondylosis,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene
